"","Tp","Cl","pH","Redox","Leit","Trueb","Cl_2","Fm","Fm_2","EVENT"
"1146",8.5,0.16,8.39,716.89185793139,210,0.015,0.104,1532.83810103172,1027.9459289657,"1"
"1147",8.5,0.16,8.38141093156301,716.717813687399,210,0.015,0.105,1572.33157793619,1030.8589068437,"1"
"1148",8.5,0.16,8.38848593659932,718.697187319864,210,0.015,0.105,1609.09515273734,1030.15140634007,"1"
"1149",8.46146388987545,0.16,8.38614638898755,716.926805506228,210,0.015,0.105385361101246,1546.14638898754,1030,"1"
"1150",8.45316840386949,0.16,8.38,718.404947883915,210,0.015,0.105,1580.21484365175,1031.46831596131,"1"
"1151",8.6,0.16,8.57155690689863,751,194.50541879209,0.0186330358636269,0.101296936052619,1454,619.593872105237,"1"
"1152",8.6,0.16,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101183774483623,1419.30794070521,618.367548967246,"1"
"1153",8.6,0.16,8.57155690689863,750.857551908819,194.50541879209,0.0189299719162454,0.101142448091181,1454.85468854709,619.142448091181,"1"
"1154",8.6,0.16,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101,1422.98907246208,618,"1"
"1155",8.6,0.16,8.57155690689863,750.422515413957,194.50541879209,0.0189299719162454,0.101,1432.05558573036,618.422515413957,"1"
"1156",8.6,0.17,8.57155690689863,750.456006512977,194.50541879209,0.0189299719162454,0.101,1453.89594138321,619.456006512977,"1"
"1157",8.6,0.17,8.57399474626,750,194.50541879209,0.0189299719162454,0.101,1456.78108031931,619,"1"
"1158",8.6,0.17,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101,1442.59364861855,621.780945855659,"1"
"1159",8.6,0.17,8.57155690689863,750,194.50541879209,0.0207182047028263,0.101,1423.90590492077,624.258814753033,"1"
"1160",8.6,0.17,8.58155690689863,750,194.50541879209,0.0189299719162454,0.101,1455.82860249653,619.942867498845,"1"
"1161",8.6,0.17,8.57158509629605,750.997181060258,194.50541879209,0.0179327908559871,0.101997181060258,1422.96899166284,619,"1"
"1162",8.6,0.17,8.57155690689863,750.097471860237,194.50541879209,0.0189299719162454,0.101,1440.29241558071,618.097471860237,"1"
"1163",8.6,0.17,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101,1429.03918398917,616.386981889606,"1"
"1164",8.6,0.17,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101,1440.77791868476,616.333756054286,"1"
"1165",8.6,0.17,8.57155690689863,751,194.50541879209,0.0189299719162454,0.101,1443.93010630785,619.155017717974,"1"
"1166",8.6,0.17,8.57155690689863,750,194.50541879209,0.0189299719162454,0.101,1440,614.759090472944,"1"
"1167",8.6,0.16,8.57155690689863,750.366040640045,194.50541879209,0.0182960125562904,0.101,1456.53583743982,619,"1"
"1168",8.6,0.16,8.57155690689863,750,194.50541879209,0.0188841634938662,0.101954191577621,1459.90838315524,619.954191577621,"1"
"1169",8.6,0.17,8.5741426838917,750.741422300693,194.50541879209,0.0181885496155528,0.101741422300693,1456.70711150346,621.965689202771,"1"
"1170",8.6,0.17,8.57155690689863,750.770974527812,194.50541879209,0.0181589973884338,0.101770974527812,1426.8934330272,617.854872639058,"1"
"1171",8.6,0.17,8.56377359676234,750.221668986371,194.50541879209,0.0187083029298746,0.102,1454.10834493185,620.665006959112,"1"
"1172",8.6,0.16,8.56645880637516,750.490189947654,194.50541879209,0.0184397819685919,0.102,1430.54873759206,619.470569842961,"1"
"1173",8.6,0.160080933417194,8.56155690689863,750,194.50541879209,0.0189299719162454,0.102016186683439,1408.12140012579,618.008093341719,"1"
"1174",8.5,0.17,8.53736715026724,751,200.50541879209,0.0195109962531069,0.104,1316.09487831569,716.905121684307,"1"
"1175",8.5,0.17,8.53552566231986,751,200.50541879209,0.0189299719162454,0.104,1322.77812879486,720.22187120514,"1"
"1176",8.5,0.17,8.5376980449335,751,200.50541879209,0.0195440857197327,0.104385886196513,1313.22822760697,720.157658589538,"1"
"1177",8.5,0.17,8.53229757413327,751,200.50541879209,0.0189299719162454,0.104,1319.59253378771,714.148133446928,"1"
"1178",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1296.61064274982,717.694678625092,"1"
"1179",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1319,717.063521888107,"1"
"1180",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1319,717.470285797492,"1"
"1181",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1337.60904654255,718.620301551418,"1"
"1182",8.5,0.16,8.54155690689863,751,200.50541879209,0.0184784951737319,0.104,1292.83966280241,719.805906970054,"1"
"1183",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1326.14547547931,719.587883439846,"1"
"1184",8.5,0.16,8.54155690689863,751,200.50541879209,0.0192488146476616,0.104,1328.60875374824,722.318842731416,"1"
"1185",8.5,0.16,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1319.58100965223,719.905048261164,"1"
"1186",8.5,0.17,8.54155690689863,751,200.50541879209,0.0187398278525734,0.104,1329.52812717226,717.809855936328,"1"
"1187",8.5,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1328.59688457963,716.638753831852,"1"
"1188",8.5,0.16,8.54155690689863,751,200.50541879209,0.0182534092947544,0.104,1293.85156067763,719.412500971928,"1"
"1189",8.5,0.16,8.54155690689863,751,200.50541879209,0.0180421827429609,0.104,1319.09241594584,718.438945866423,"1"
"1190",8.5,0.17,8.5336992080143,751,200.50541879209,0.0187157418046781,0.104,1319.78576988843,721.714619330596,"1"
"1191",8.5,0.17,8.54155690689863,751,200.50541879209,0.0193459487430454,0.104,1295.8952816308,718.4159768268,"1"
"1192",8.5,0.17,8.53775797316631,751,200.50541879209,0.0189299719162454,0.103379893373232,1324.34074638737,720.519573492929,"1"
"1193",8.5,0.17,8.54155690689863,751,200.50541879209,0.0196558045997453,0.1037258326835,1309.613322936,719,"1"
"1194",8.5,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.103102070478024,1378.18198275263,711.51035239012,"1"
"1195",8.5,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.103,1383.29567493219,713.582525248639,"1"
"1196",8.5,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.104,1338.47395471414,717.4966027888,"1"
"1197",8.4,0.17,8.543919953921,751,200.50541879209,0.019048124267364,0.101,1263.28249592427,809.527390595526,"1"
"11981",8.4,0.17,8.56155690689863,751,200.50541879209,0.0189299719162454,0.101,1274.10314356536,804,"1"
"1199",8.4,0.17,8.56155690689863,751,200.50541879209,0.0189299719162454,0.101,1273.15125121875,804,"1"
"1200",8.4,0.17,8.56155690689863,751,200.50541879209,0.0189299719162454,0.101,1275.14649229567,804,"1"
"1201",8.4,0.17,8.56155690689863,751,200.50541879209,0.0189299719162454,0.101,1274.05801536329,804.436859337613,"1"
"1202",8.4,0.17,8.56155690689863,751,200.50541879209,0.0190415401641448,0.102,1275.67352371849,803.111568247899,"1"
"1203",8.4,0.17,8.56155690689863,751,200.50541879209,0.0189299719162454,0.102,1275.10025606118,802.669923181646,"1"
"1204",8.4,0.17,8.56155690689863,751,200.50541879209,0.019241044609219,0.101311072692974,1287.44463653513,804.311072692974,"1"
"1205",8.4,0.17,8.56155690689863,751,200.50541879209,0.0199299719162454,0.102,1288.57508224947,803.969648732105,"1"
"1206",8.4,0.17,8.56155690689863,751,200.50541879209,0.0199299719162454,0.102,1279.32135302969,803.960300673265,"1"
"1207",8.4,0.17,8.55406414066733,751.74927662313,200.50541879209,0.0189299719162454,0.101,1281.74638311565,803.50144675374,"1"
"1208",8.4,0.18,8.54977138820163,751,200.50541879209,0.0189299719162454,0.1011785518697,1261.3930331727,805.642896260601,"1"
"1209",8.4,0.18,8.54851381536632,751,200.50541879209,0.0189299719162454,0.101,1287.60861830646,804.608618306462,"1"
"1210",8.4,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1265.34636600781,808.692732015625,"1"
"1211",8.4,0.18,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101611169650685,1268.77555327397,804.77766069863,"1"
"1212",8.4,0.18,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1291.81946057058,806,"1"
"1213",8.4,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1265.62967090681,800.868063295027,"1"
"1214",8.4,0.18,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101252340078121,1282.4110770314,805.495319843758,"1"
"1215",8.4,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1267.67490067333,801.251543876249,"1"
"1216",8.47590976872016,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1252.64992544078,802.277293061605,"1"
"1217",8.40747023767326,0.17,8.54155690689863,751,200.50541879209,0.0189299719162454,0.101,1277.2241071302,802.70119049307,"1"
"1218",8.5,0.17,8.54155690689863,751.521641017869,200.50541879209,0.0199299719162454,0.101478358982131,1280.65148712508,799.043282035738,"1"
"1219",8.5,0.17,8.54155690689863,751.960992050823,200.50541879209,0.0198909639670682,0.101,1283.84396820329,799.960992050823,"1"
"1220",8.32866651359946,0.167133348640054,8.51582360417874,754,197.50541879209,0.0196433067802509,0.105286665135995,1375.5533624161,799.140004592016,"1"
"1221",8.39636455401778,0.17,8.51192045149685,754,197.50541879209,0.0189663263760676,0.105963645540178,1348.23605163395,805.781873241067,"1"
"1222",8.34974882465322,0.17,8.51658202443331,754,197.50541879209,0.0199299719162454,0.105,1385.47739421879,801.492464739596,"1"
"1223",8.3,0.162228612278122,8.51378551917675,753.777138772188,197.50541879209,0.0191528331440577,0.105,1368.565779645,800,"1"
"1224",8.3,0.168279154591728,8.51983606149036,754,199.989165169608,0.0197578873754182,0.105,1396.03250724496,800.860422704136,"1"
"1225",8.3,0.17,8.51804188131647,754,197.50541879209,0.0199299719162454,0.105,1385.92103581503,799.648497441784,"1"
"1226",8.3,0.17,8.51428499902192,754,197.50541879209,0.0199299719162454,0.105,1393.0903355137,800.091236849315,"1"
"1227",8.3,0.17,8.51326726008265,753.828964681597,197.50541879209,0.0199299719162454,0.105,1392.60550554236,798.657929363195,"1"
"1228",8.3,0.17,8.51505671223917,754,198.555360394253,0.0199299719162454,0.105,1397.09988320433,799.349980534054,"1"
"1229",8.3,0.17,8.52155690689863,753.415115262847,198.750764580632,0.0199299719162454,0.105,1377.26396263437,800,"1"
"1230",8.3,0.17,8.52155690689863,753,197.50541879209,0.0199299719162454,0.105,1381,797.701068613213,"1"
"1231",8.3,0.17,8.51563066453266,754,198.7275460823,0.0199299719162454,0.105,1395,799.407375763403,"1"
"1232",8.3,0.17,8.52155690689863,753.154150742106,197.967871018408,0.0199299719162454,0.105,1379.45849257894,796.691698515788,"1"
"1233",8.3,0.17,8.52155690689863,753.427418674808,200.50541879209,0.0199299719162454,0.105,1404.56451204885,799,"1"
"1234",8.3,0.17,8.52155690689863,753.026900994824,200.50541879209,0.0199299719162454,0.105,1402.43041591719,799.107603979297,"1"
"1235",8.3,0.17,8.52155690689863,753.698778370395,200.50541879209,0.0199299719162454,0.105301221629605,1423.72321096249,803.602443259209,"1"
"1236",8.3,0.17,8.52155690689863,754,200.50541879209,0.0199299719162454,0.105,1371.91069200612,799.553460030584,"1"
"1237",8.3,0.17,8.52155690689863,753.139981354121,200.50541879209,0.0216500092080032,0.105,1399.27996270824,800,"1"
"1238",8.3,0.17,8.52155690689863,753.155358330812,197.971493784527,0.0216192552546208,0.105,1427.29105836106,804.689283338375,"1"
"1239",8.3,0.17,8.52155690689863,753.305681183701,200.50541879209,0.0199299719162454,0.105,1403.83408710221,799,"1"
"1240",8.3,0.17,8.52155690689863,753.469446484232,200.50541879209,0.0203994184004777,0.105,1430.26383789419,809.225018358091,"1"
"1241",8.3,0.17,8.52155690689863,754,200.50541879209,0.0206837354075332,0.105,1413.06021586061,810.55268887803,"1"
"1242",8.3,0.17,8.52155690689863,753.687330133282,199.567409191935,0.0226173020495271,0.105,1425.56334933359,803.625339733437,"1"
"1243",8.5186443436658,0.17,8.50155690689863,755,197.50541879209,0.0191164153529034,0.108,1512.20334845013,914.186443436658,"1"
"1244",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1496.7626167147,914.446105667623,"1"
"1245",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1492.36893006088,911.140775050735,"1"
"1246",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1498.76871708012,915.589572360041,"1"
"1247",8.64674366919789,0.17,8.50688253997884,755,197.50541879209,0.0189299719162454,0.108,1475.19537984813,915.065126616042,"1"
"1248",8.6,0.17,8.50477225031297,755,197.50541879209,0.0196084375748114,0.108,1499.35693131713,915.964603024302,"1"
"1249",8.6,0.17,8.50155690689863,755,197.50541879209,0.0199299719162454,0.108,1496.47038265713,910.764459188562,"1"
"1250",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1488.9951547049,908.746971690562,"1"
"1251",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1496.05448447121,913.424140785355,"1"
"1252",8.6,0.17,8.50226742661384,755,197.50541879209,0.0189299719162454,0.108,1490.64474014239,910.213155914564,"1"
"1253",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1493.61960674962,910,"1"
"1254",8.6,0.17,8.50155690689863,754.785035230452,197.50541879209,0.0229299719162454,0.106429929539096,1493.99049322633,914.429929539096,"1"
"1255",8.6,0.17,8.50524248442439,755,197.50541879209,0.0210356451739726,0.108,1497.10827055667,911.894326742273,"1"
"1256",8.6,0.17,8.50155690689863,754.111255676718,197.50541879209,0.0225962048860901,0.108,1484.33506812062,915.221210262971,"1"
"1257",8.6,0.17,8.50155690689863,755,197.50541879209,0.0198673390311823,0.108,1489.12526577013,912.812101344811,"1"
"1258",8.6,0.17,8.51155690689863,755,197.50541879209,0.0189299719162454,0.108009733302984,1466,915,"1"
"1259",8.6,0.17,8.50155690689863,755,197.50541879209,0.0183897510847246,0.108,1492.62066249456,915.402208315209,"1"
"1260",8.6,0.17,8.50155690689863,755,197.50541879209,0.0189299719162454,0.108,1490.27472405881,910,"1"
"1261",8.6,0.17,8.51155690689863,755,197.50541879209,0.0189299719162454,0.108,1483.64820473734,913.235179526266,"1"
"1262",8.6,0.17,8.51118435553334,755,197.50541879209,0.0189299719162454,0.108,1515.29215240595,913.074510273058,"1"
"1263",8.6,0.17,8.50892758529226,755,197.50541879209,0.0189299719162454,0.106525864321273,1506.58188191173,914.262932160636,"1"
"1264",8.6,0.17,8.51043121188705,755,197.50541879209,0.0189299719162454,0.108,1497.54972199537,917.099443990737,"1"
"1265",8.6,0.17,8.50207505421073,755,197.50541879209,0.0189299719162454,0.108,1490.32640849426,910.310888387263,"1"
"1266",8.7,0.17,8.58069659095549,753,197.50541879209,0.0198439403219317,0.104,1405.68825275451,1108.65587362275,"1"
"1267",8.7,0.17,8.5742615497351,753,197.50541879209,0.0182004361998924,0.105,1398.91814286541,1097.45907143271,"1"
"1268",8.7,0.17,8.57155690689863,753,197.50541879209,0.0183811944461131,0.105,1394.58532964159,1100.70733517921,"1"
"1269",8.7,0.17,8.57155690689863,753.959487986984,197.50541879209,0.0189299719162454,0.105,1394.71641590889,1101.12153603905,"1"
"1270",8.7,0.17,8.58080009427912,753,197.50541879209,0.0199299719162454,0.104,1405.52976883366,1108.16750611854,"1"
"1271",8.7,0.17,8.58155690689863,753,197.50541879209,0.0190608404622116,0.105,1397.83215964353,1097.1778169137,"1"
"1272",8.7,0.17,8.58155690689863,753.574970797868,197.50541879209,0.0199299719162454,0.105,1407.12514601066,1102.12514601066,"1"
"1273",8.7,0.17,8.58155690689863,753,197.50541879209,0.0199299719162454,0.104,1400.0550060384,1109.38038415089,"1"
"1274",8.7,0.17,8.58445529511956,753.289838822093,197.50541879209,0.0199299719162454,0.104,1409.34758233139,1105.81177295698,"1"
"1275",8.7,0.17,8.58356070647308,753.100189978722,197.50541879209,0.0199299719162454,0.105,1410.60113987233,1105.70132985106,"1"
"1276",8.7,0.17,8.59155690689863,752.414800405502,197.50541879209,0.0199299719162454,0.104,1415.24440121651,1099.5851995945,"1"
"1277",8.7,0.17,8.59155690689863,752.402673668228,197.50541879209,0.0199299719162454,0.104,1415.20802100468,1099.59732633177,"1"
"1278",8.7,0.17,8.60155690689863,752.485341958236,197.50541879209,0.0221726428953634,0.105,1390.97068391647,1098.72801293735,"1"
"1279",8.7,0.17,8.60155690689863,753.256624577567,197.50541879209,0.0199299719162454,0.105,1428.94700337946,1100.25662457757,"1"
"1280",8.7,0.17,8.59550668975164,753.302510857349,197.50541879209,0.0206274610588962,0.105,1410.57991314121,1098.6050217147,"1"
"1281",8.7,0.17,8.60155690689863,752.628703493159,197.50541879209,0.022244323662825,0.105,1391.25740698632,1098.94305523974,"1"
"1282",8.7,0.17,8.60155690689863,753.563892676728,197.50541879209,0.0199299719162454,0.105,1425.61664393963,1103.61664393963,"1"
"1283",8.7,0.17,8.5842882314307,753.136566226603,197.50541879209,0.0199299719162454,0.105,1410.81939735962,1105.95596358622,"1"
"1284",8.7,0.17,8.60043011953647,754,197.50541879209,0.0199299719162454,0.105,1423.56339368108,1101.56339368108,"1"
"1285",8.7,0.17,8.59787703990762,754,197.50541879209,0.0199299719162454,0.105,1415.35973398201,1106.6320133009,"1"
"1286",8.7,0.17,8.59824043433008,754,197.50541879209,0.0199299719162454,0.105,1424.65823628427,1102.65823628427,"1"
"1287",8.7,0.166209549156483,8.59534735774215,754,197.50541879209,0.0199299719162454,0.106,1425.71803694009,1098.62095491565,"1"
"1288",8.7,0.17,8.58420101444063,754,197.50541879209,0.0199299719162454,0.1052644107542,1408.1729290504,1099.7355892458,"1"
"1289",8.5,0.16,8.54583117129806,754,194.50541879209,0.0190724473962263,0.101142475479981,1583.13980383985,989.284950959962,"1"
"1290",8.5,0.17,8.56174337452103,754.981353237759,194.50541879209,0.0199299719162454,0.102,1571.83217913983,988.906766188797,"1"
"1291",8.5,0.17,8.55229164792051,754,194.50541879209,0.0199299719162454,0.102,1600.88978884672,988.330633459846,"1"
"1292",8.5,0.17,8.57155690689863,754,194.50541879209,0.0199299719162454,0.102,1596.24427860603,995.829519070685,"1"
"1293",8.5,0.17,8.57155690689863,754,194.50541879209,0.0199299719162454,0.102,1559.19087274885,986.539418167435,"1"
"1294",8.5,0.17,8.57055231140287,754.949770225212,194.50541879209,0.0199299719162454,0.102,1574.65298707224,990.74885112606,"1"
"1295",8.5,0.17,8.56954887557834,754,194.50541879209,0.0201307750482747,0.102,1564.4056219242,985.204818792176,"1"
"1296",8.5,0.17,8.56944548627653,754.21114206221,194.50541879209,0.0199299719162454,0.10178885793779,1609,989.422284124419,"1"
"1297",8.5,0.17,8.56867098337098,754.711407647235,194.50541879209,0.0202185642690101,0.102,1572.84563058894,990.711407647235,"1"
"1298",8.5,0.17,8.54542607516808,755,194.50541879209,0.0199299719162454,0.102,1554.29158221139,994.032707932638,"1"
"1299",8.5,0.17,8.54566214089108,754,194.50541879209,0.0201352336158679,0.101,1582.02630849811,990.589476600755,"1"
"1300",8.5,0.17,8.55283196889854,754.127506199991,194.50541879209,0.0199299719162454,0.101872493800009,1602.02004959993,988.382518599974,"1"
"1301",8.5,0.17,8.56826114436903,754,194.50541879209,0.0199299719162454,0.102,1598.49436437944,995.516906861681,"1"
"1302",8.5,0.17,8.56879350131669,754.138170279097,194.50541879209,0.0199299719162454,0.102,1587.51987307006,989,"1"
"1303",8.5,0.17,8.55926797424735,754,194.50541879209,0.0199299719162454,0.102,1586.61444663256,987.156660102308,"1"
"1304",8.5,0.17,8.5538869176322,754.616500536678,194.50541879209,0.0199299719162454,0.102,1575.83499463322,987.849501610035,"1"
"1305",8.5,0.17,8.55012432765042,755,194.50541879209,0.0199299719162454,0.102,1551.00280547375,992.858144812053,"1"
"1306",8.5,0.17,8.54155690689863,754,194.50541879209,0.0204412977272813,0.101,1591.22651622072,992.533977433108,"1"
"1307",8.5,0.17,8.54155690689863,754.445757374633,194.50541879209,0.0194842145416123,0.101445757374633,1580.10848525073,991,"1"
"1308",8.5,0.17,8.545621875269,754.593503162963,194.50541879209,0.0193364687532821,0.102,1582.25197469629,988.967515814817,"1"
"1309",8.5,0.16,8.55872637835623,754,194.50541879209,0.0195022876314988,0.101572315715253,1586.57852572203,990.144631430507,"1"
"1310",8.5,0.16,8.54155690689863,754,194.50541879209,0.0189299719162454,0.101,1582,990.357019846328,"1"
"1311",8.5,0.163211093102582,8.54155690689863,754,194.50541879209,0.0202510812265036,0.101,1607.78890689742,998.752234828193,"1"
"13121",8.6,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.109,1518,1008.70232889452,"1"
"1313",8.56255065896548,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108625506589655,1509.38665156206,1009.49797364138,"1"
"1314",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108,1509.80867523607,1008.6269558412,"1"
"1315",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108,1529.20634837449,1007.55158709362,"1"
"1316",8.5,0.16,8.52155690689863,755,193.50541879209,0.0209294331030623,0.106001077626366,1534.00700457138,1012,"1"
"1317",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108,1517.72145923134,1007.0328755388,"1"
"1318",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1475.35410516965,1012.19344359566,"1"
"1319",8.5,0.157201361320913,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1495.55972773582,1011.27986386791,"1"
"1320",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1489.41513768909,1011.79783747299,"1"
"1321",8.5,0.16,8.52155690689863,755,193.50541879209,0.0205857519617939,0.106,1520.57542177639,1011.65578004555,"1"
"1322",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108,1503.98813710734,1006.94417287712,"1"
"1323",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.108,1518.57708945265,1008.72043339838,"1"
"1324",8.5,0.16,8.52155690689863,755,193.50541879209,0.0205572125288827,0.106,1478.39068428846,1012.62724061264,"1"
"1325",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1496.49483851902,1008.74741925951,"1"
"1326",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1477.21281311265,1012.45897330181,"1"
"1327",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1503.21784026967,1012.07261342322,"1"
"1328",8.5,0.16,8.52155690689863,754.675596889574,193.50541879209,0.0199299719162454,0.106,1485.43156578531,1013.7023875583,"1"
"1329",8.5602615481941,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1486.79476903612,1009.58953807224,"1"
"1330",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1491.93598446203,1011.57468479429,"1"
"1331",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1510.12118928507,1011.35152428597,"1"
"1332",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1490.53119057277,1010.55360538699,"1"
"1333",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1495.84554063156,1010.66178374738,"1"
"1334",8.5,0.16,8.52155690689863,755,193.50541879209,0.0199299719162454,0.106,1489.57771335961,1014.61485776026,"1"
"1335",8.4,0.17,8.51699113879179,753.456576810684,193.50541879209,0.0214733951055614,0.099,1422.50126664573,999.739460864104,"1"
"1336",8.4,0.17,8.52155690689863,753.523641431937,193.50541879209,0.0219299719162454,0.099,1417.76005575131,997,"1"
"1337",8.4,0.17,8.51506992419309,754,193.50541879209,0.0209299719162454,0.099,1413.26952594169,999.107810376678,"1"
"1338",8.4,0.17,8.5124211524363,754,193.50541879209,0.0209299719162454,0.099,1409.2963683065,997.518547322601,"1"
"1339",8.4,0.17,8.48346209236014,754,193.50541879209,0.0209299719162454,0.099,1407.84167927946,991.762074184604,"1"
"1340",8.5,0.17,8.50972428211303,754,193.50541879209,0.0209299719162454,0.099,1342,1002.72510628216,"1"
"1341",8.4,0.17,8.49685510624259,754,193.50541879209,0.0209299719162454,0.099,1361.43042015308,993.139159693848,"1"
"1342",8.4,0.17,8.49516349666578,753.360658976715,193.50541879209,0.0209299719162454,0.099,1309.85232297797,999.16395386029,"1"
"1343",8.4,0.17,8.4916178123263,753.996954728616,193.50541879209,0.020933017187629,0.0989969547286164,1318.03958852799,1002.99390945723,"1"
"1344",8.4,0.175407790094614,8.49696469699324,753.459220990539,193.50541879209,0.0214707509257068,0.099,1308.26597782969,1001.37766297162,"1"
"1345",8.4,0.17,8.49279687446601,753.876003243262,193.50541879209,0.0209299719162454,0.099,1341.64406162198,1001.24799351348,"1"
"1346",8.45688571711071,0.17,8.49586833518756,753.568857171107,193.50541879209,0.0209299719162454,0.099,1301.1079988135,1002.43114282889,"1"
"1347",8.4,0.17,8.49155690689863,753,193.50541879209,0.0209299719162454,0.099,1311.15675269626,999.407521270216,"1"
"1348",8.4,0.17,8.49155690689863,753,193.50541879209,0.0209299719162454,0.099,1322.69592899363,997.400708001107,"1"
"1349",8.4,0.17,8.49155690689863,754,193.50541879209,0.0209299719162454,0.099,1334.31913319463,1001.74468206195,"1"
"1350",8.4,0.17,8.49155690689863,754,193.50541879209,0.0209299719162454,0.099,1336.32679600362,1000.48845306691,"1"
"1351",8.4,0.17,8.49470150510141,754,193.50541879209,0.0209299719162454,0.099,1346.20121874195,1000.84277008986,"1"
"1352",8.4,0.17,8.4829062130052,753.865069389343,193.50541879209,0.0209299719162454,0.100730138778687,1338.84111022949,995.269861221313,"1"
"1353",8.4,0.17,8.49135277338152,754,193.50541879209,0.0209299719162454,0.099,1344.42868038593,1000.69379972434,"1"
"1354",8.4,0.17,8.51474878646725,754,193.50541879209,0.0209299719162454,0.099,1420.10654881666,1000.95756387059,"1"
"1355",8.5,0.17,8.50818134213857,754,193.50541879209,0.0209299719162454,0.099,1342.78763177735,1001.64977409597,"1"
"1356",8.47608795771375,0.17,8.49155690689863,754,193.50541879209,0.0209299719162454,0.099,1342.47824084572,1000.23912042286,"1"
"1357",8.4,0.17,8.49155690689863,754,193.50541879209,0.0209299719162454,0.099,1344.05019310117,1000.94980689883,"1"
"1358",8.5,0.16,8.52089610561089,753.966959935613,200.50541879209,0.0208969318518584,0.104,1171.68504328374,1248.46040869225,"1"
"1359",8.5,0.16,8.50168865893328,753.013175203465,200.50541879209,0.0238904463058506,0.104013175203465,1208.34123982675,1367.07773575746,"1"
"1360",8.5,0.16,8.50155690689863,753,200.50541879209,0.0215785611808469,0.104,1208.41214731615,1370.93926341925,"1"
"1361",8.5,0.16,8.50405740906776,753.250050216913,200.50541879209,0.0201800221331586,0.102749748915434,1208,1372.24984934926,"1"
"1362",8.5,0.16,8.50155690689863,753.720986283151,200.50541879209,0.0206509581993968,0.104,1210.16295884945,1389.58268451248,"1"
"1363",8.5,0.16,8.50155690689863,753,200.50541879209,0.0234576764447783,0.104,1210.4168864144,1369.29881254653,"1"
"1364",8.5,0.16,8.50489972242213,753.33428155235,200.50541879209,0.0202642534685956,0.102328592238249,1216.65433981945,1375.99146602885,"1"
"1365",8.5,0.16,8.5092576158821,752.614964550827,200.50541879209,0.0227748655687255,0.104,1175.8869513711,1394.56744599296,"1"
"1366",8.5,0.16,8.52999650355487,752.843959665624,200.50541879209,0.0209299719162454,0.104,556.703064366011,1715.50668965606,"1"
